sample	group
BC_3d_1	BC_3d
BC_3d_2	BC_3d
BC_3d_3	BC_3d
BC_3d_4	BC_3d
Veh_3d_1	Veh_3d
Veh_3d_2	Veh_3d
Veh_3d_3	Veh_3d
Veh_3d_4	Veh_3d
