cpd_id	BC_3d_1	BC_3d_2	BC_3d_3	BC_3d_4	Veh_3d_1	Veh_3d_2	Veh_3d_3	Veh_3d_4
HMDB0000472	1.576218686	4.145609091	2.193464844	2.2890112	3.478165175	1.1693094	1.581258904	1.58E-06
HMDB0000484	0.001341721	0.004136364	0.002257681	0.0016128	4.59E-06	0.0004172	0.000615068	0.001208183
HMDB0000486	0.047906938	0.07684026	0.069370594	0.0386022	0.01881284	0.0126868	0.016375342	0.03631608
HMDB0000491	0.046999075	0.012525974	0.058470123	0.005677	0.01219144	0.0173404	0.021821918	0.004667555
HMDB0000500	0.003974653	0.005055844	0.005176437	0.0058758	0.001096304	0.0028084	0.002130137	0.002576213
HMDB0000502	4.125507308	2.354797403	9.861308388	2.9003702	3.324588716	2.4163818	1.972631507	1.40703197
HMDB0000508	0.036045143	0.033211688	0.04980754	0.053095	0.028051751	0.0199626	0.027716438	0.060747479
HMDB0000510	0.334651804	0.28295974	0.656692366	0.428883	0.44201323	0.3643906	0.29429863	0.607340247
HMDB0000512	0.191451619	0.074580519	0.107749859	0.12215	0.02340642	0.009765	0.039758904	0.103793149
HMDB0000517	0.187475671	0.182737662	0.188303299	0.1595916	0.200740661	0.1014762	0.098968493	0.122603235
HMDB0000522	0.383340981	0.255937662	0.232004147	0.1260252	0.440892412	0.3564498	0.261626027	0.096156422
HMDB0000528	0.007059574	0.007480519	0.008835438	0.010185	2.89E-06	0.0067074	0.005991781	0.005823787
HMDB0000529	0.002548751	0.002275325	0.00385033	0.0044912	0.001176654	0.001085	0.007486301	0.001535871
HMDB0000531	0.842771508	0.252788312	0.274072762	0.2028166	4.72E-06	2.92E-06	0.318152055	0.088572978
HMDB0000532	0.341983349	0.340046753	0.38168803	0.2904748	0.279874708	0.2554524	0.254254795	0.295939486
HMDB0000539	1.650742461	1.41185974	0.379571536	1.071721	1.239283268	3.6541442	1.413578082	0.946737012
HMDB0000555	0.000507678	0.000380519	0.000369463	0.00042	0.000381323	1.88E-06	4.10E-06	0.000386299
HMDB0000557	0.018219426	0.011187013	0.01424147	0.0158844	0.005632685	0.005348	0.012719178	0.014899144
HMDB0000567	0.000423497	0.000653247	0.000505372	0.0003962	0.000491634	0.0004494	0.000438356	0.00045157
HMDB0000582	2.11E-06	4.33E-06	0.007021112	1.60E-06	0.007027237	4.02E-06	3.70E-06	0.006662988
HMDB0000613	0.004597595	0.005075325	0.003809425	0.0044954	0.006061673	0.0040558	0.003482192	0.004803425
HMDB0000621	2.154672525	2.305801299	3.225367766	2.6430656	2.576050389	1.9794684	1.928050685	3.666949001
HMDB0000623	0.000466235	3.02E-06	1.62E-06	2.41E-06	2.92E-06	2.46E-06	2.93E-06	1.97E-06
HMDB0000634	0.003716929	0.005251948	0.004070688	0.0069272	0.003406031	0.0027132	0.001690411	0.007552807
HMDB0000639	0.013123219	0.007716883	0.014170217	0.0133448	0.007544747	0.0074774	0.010050685	0.027332636
HMDB0000645	0.280525809	0.342501299	0.395377945	0.4640664	0.359499027	0.4340406	0.397971233	0.445600951
HMDB0000651	0.000911748	0.000338961	0.000577945	0.0003906	0.000341829	0.0003668	0.000276712	4.44E-06
HMDB0000660	1.125706198	1.098288312	1.22136475	0.80843	1.07654144	0.9580928	0.732465753	0.7436451
HMDB0000661	0.053883811	0.141711688	0.030311781	0.069888	0.09464572	0.0060172	0.033956164	0.04112883
HMDB0000663	0.007073821	0.005081818	0.006152875	0.0061222	0.008427237	0.0081718	0.010150685	0.012626641
HMDB0000665	0.009021647	0.007958442	0.005597361	0.0064316	0.008160311	0.0070392	0.007075342	0.010021123
HMDB0000667	0.042293987	0.030523377	0.024240716	0.0260666	0.024386965	0.0103222	0.016880822	0.029206851
HMDB0000670	1.552166142	0.777833766	1.985391329	1.340472	0.599325292	0.548023	0.670368493	1.022422265
HMDB0000673	6.281827197	5.998950649	8.551454665	9.6306434	7.082402529	8.3455428	4.567691781	7.452916651
HMDB0000678	0.001507493	0.000949351	0.001440905	0.0012152	0.001143969	0.0010066	0.001250685	0.001069648
HMDB0000686	0.025185754	0.003237662	0.00344656	0.0104916	0.001676459	0.0013692	0.004082192	0.013236727
HMDB0000687	6.043213321	6.092712987	5.504376437	5.306042	4.724673152	4.702404	5.295046575	4.816165176
HMDB0000688	0.000107493	0.000131169	0.0002705	0.0001722	0.000111673	1.55E-06	0.000178082	0.000179829
HMDB0000689	0.025000555	0.010301299	0.04269934	0.1433838	0.000401751	1.30E-06	0.011690411	0.019878402
HMDB0000691	0.003854209	0.001564935	0.002726107	0.0028854	0.001156226	0.0007182	0.001732877	0.003288868
HMDB0000694	0.099982794	0.065497403	0.121107257	0.1224272	0.116319844	0.068775	0.062380822	0.141164225
HMDB0000695	0.045592599	0.019467532	0.050253534	0.0086814	0.018842802	0.0257138	0.02359726	0.005874405
HMDB0000696	4.007851619	4.627224675	4.907823374	4.895639	4.435061089	4.0231212	5.706910959	5.72059981
HMDB0000700	1.147996115	1.008874026	1.127327238	0.8827266	0.841973346	0.6582408	1.120969863	1.180346527
HMDB0000701	0.019035338	0.025561039	0.018514043	0.0145082	0.012817899	0.0193732	0.006945205	0.008931494
HMDB0000703	0.000542646	0.000514286	0.000452592	0.0006958	2.44E-06	2.96E-06	2.77E-06	0.000422265
HMDB0000705	0.000123034	0.000120779	0.00013591	0.0001554	0.000133463	2.87E-06	2.53E-06	0.000157184
HMDB0000707	0.000003772	1.05E-06	4.03E-06	3.69E-06	0.000002427	1.12E-06	0.000004384	3.89E-06
HMDB0000711	0.00499519	0.003150649	0.00226032	0.0017668	0.002448638	0.002016	0.001446575	0.001365366
HMDB0000714	0.000923404	0.000479221	0.001410556	0.001442	0.0005393	0.0007616	0.000715068	0.002585538
HMDB0000716	0.328036448	0.172787013	0.413183412	0.2087246	0.275740078	0.219121	0.201410959	0.191100666
HMDB0000718	1.4364	4.83E-06	1.548477851	1.0455438	4.65E-06	2.13E-06	0.451635616	0.377740247
HMDB0000720	0.040352636	0.03555974	0.022012064	0.0420434	0.050518482	0.0292026	0.019463014	0.048276689
HMDB0000721	0.02773062	0.017742857	0.019590763	0.0294126	0.012232296	0.0107254	0.014838356	0.020985347
HMDB0000729	0.035295282	0.141187013	0.089283318	0.0669326	0.055129767	0.0308812	0.032286301	0.089504091
HMDB0000733	0.005931545	2.22E-06	0.000840528	0.0027874	3.53E-06	3.66E-06	0.000350685	0.00123882
HMDB0000736	0.009648474	0.009302597	0.030017531	0.015421	0.007159339	0.0091434	0.01180274	0.012039201
HMDB0000740	0.011866975	0.0151	0.01014967	0.012152	1.56E-06	0.0100744	0.012889041	1.47E-06
HMDB0000742	0.008616281	0.006654545	0.006621301	0.0104062	0.008839883	0.009443	0.008520548	0.005753187
HMDB0000746	0.000568548	0.000536364	0.000406409	0.000462	0.000551556	0.0004396	0.000454795	0.000571456
HMDB0000748	0.000541351	0.000554545	0.000448633	0.0018802	0.000521595	0.000434	0.000447945	0.000795243
HMDB0000749	0.006335615	0.015754545	1.70E-06	0.017241	0.0099607	0.0108976	0.007210959	0.018211989
HMDB0000752	0.000585384	0.000525974	0.000506692	0.000686	0.000584241	0.0005558	0.00039863	0.000439581
HMDB0000754	0.034291582	0.017268831	0.018300283	0.001365	0.006000389	0.0021658	0.013521918	0.009317793
HMDB0000755	0.003618501	0.002011688	0.001897455	0.0079996	0.00389358	0.003514	0.002790411	0.004057469
HMDB0000759	0.000568548	0.000196104	0.000339114	0.0004956	0.000400389	0.0002142	0.000232877	0.00040628
HMDB0000761	0.002862165	0.001754545	0.002037323	0.0026572	0.001310117	0.0019656	0.001523288	0.002484301
HMDB0000763	0.120423312	0.054616883	0.006377191	0.0095662	0.0131393	0.0704158	0.061653425	0.027969363
HMDB0000764	0.081793154	0.003412987	0.012698963	0.0609126	2.77E-06	0.0007616	0.010327397	0.009101998
HMDB0000765	0.030490472	0.025120779	0.023809237	0.0302176	0.01884144	0.013251	0.023631507	0.025771456
HMDB0000766	0.567749861	0.383377922	0.361017908	0.4432036	0.209012646	0.1990828	0.2862	0.449955471
HMDB0000783	0.088174098	0.061779221	0.058561169	0.0349174	0.090050778	0.0325598	0.080545205	0.056067935
HMDB0000784	0.010812766	0.002350649	0.006152875	0.0083916	0.001842607	0.0016296	0.002372603	0.004150714
HMDB0000791	0.006191859	0.005864935	1.41E-06	1.95E-06	0.006178794	2.18E-06	0.000004557	0.006152807
HMDB0000792	0.000003937	3.29E-06	1.41E-06	3.10E-06	0.006124319	0.000002339	0.006157534	3.80E-06
HMDB0000806	0.107322109	0.170558442	0.184319698	0.4973962	0.099608366	0.0721896	0.118378082	0.189271741
HMDB0000812	0.053421462	0.026005195	0.044305184	0.0455714	0.025616732	0.008092	0.020054795	0.053859372
HMDB0000822	0.017852914	0.014402597	0.01235721	0.0098	0.012755253	0.0148904	0.021263014	0.008987441
HMDB0000824	0.181823867	0.139888312	0.1747295	0.075999	0.051889883	0.044205	0.085710959	0.094837678
HMDB0000826	0.059526549	0.047207792	0.058916117	0.0551894	0.046722957	0.0387492	0.062075342	0.041359277
HMDB0000828	0.468737095	0.289318182	0.545939303	0.3940594	0.293637743	0.108486	0.221823288	0.533879543
HMDB0000840	0.000543941	4.14E-06	2.77E-06	0.0007014	0.000494358	0.0005194	0.000001942	0.000472883
HMDB0000848	0.003612026	0.00357013	0.008154571	0.0039774	0.003110506	0.0041174	0.004042466	0.003892293
HMDB0000857	0.002385569	0.000515584	0.001431668	0.00196	0.000471206	0.0004606	0.000645205	0.00136137
HMDB0000858	0.010372433	0.014428571	0.006180584	0.0128954	0.021326848	0.0208082	0.011161644	0.008169553
HMDB0000866	0.090450879	4.10E-06	0.03602394	0.0403116	0.000001254	1.47E-06	0.02300411	3.84E-06
HMDB0000870	0.007176133	0.083690909	0.069199057	0.0975478	0.064099027	1.32E-06	2.80E-06	0.05785823
HMDB0000875	0.027150416	0.030533766	0.020613384	0.0352968	0.062496109	0.0102578	3.58E-06	0.03903216
HMDB0000881	0.088196115	0.089468831	0.03370688	0.096992	0.076579183	0.0615258	0.070139726	0.106876879
HMDB0000892	0.352296207	0.014772727	0.152956268	0.3916948	3.25E-06	1.53E-06	0.181724658	0.090230067
HMDB0000893	0.005239963	0.001767532	0.002885768	0.002485	0.00203463	0.0012726	0.001750685	0.00247764
HMDB0000904	0.614991119	0.353762338	2.040566635	0.8698802	0.616954669	0.8810032	0.530320548	0.782921028
HMDB0000910	0.000879371	0.000598701	0.001295759	0.001743	0.000405837	0.000595	0.001223288	0.000768601
HMDB0000925	0.342617946	3.95E-06	0.17516098	0.1300992	0.234730156	0.079408	0.424480822	0.108922931
HMDB0000929	0.240969658	0.141036364	0.234533648	0.1565494	0.098288716	0.1480682	0.236468493	0.240424358
HMDB0000932	0.000657909	0.001171429	0.000535721	0.0010206	0.000407198	0.000002346	0.000484932	0.000491532
HMDB0000933	0.000422202	0.000384416	0.000428841	0.000441	1.35E-06	3.87E-06	0.00040137	0.000376974
HMDB0000939	0.008507493	0.009938961	0.007011876	0.010094	0.011611284	0.0084952	0.00689726	0.007548811
HMDB0000946	0.004654579	0.001564935	0.001572856	0.002975	0.000661868	0.0008092	0.001594521	0.002391056
HMDB0000951	0.000560777	0.000155844	0.000221678	0.000357	0.0001607	0.0001498	0.000206849	0.000197146
HMDB0000954	0.019921184	3.52E-06	0.008034496	0.0053284	4.95E-06	3.86E-06	3.28E-06	0.005036537
HMDB0000956	0.000411841	0.000651948	0.00067295	0.00042	0.000697276	0.0006272	0.00050411	0.000448906
HMDB0000959	0.006366698	0.006542857	0.006060509	0.006356	0.006682685	0.0063098	0.006269863	0.005607992
HMDB0001015	0.007678631	0.009227273	0.000002603	0.0102354	4.53E-06	1.12E-06	0.007543836	4.57E-06
HMDB0001043	14.42364958	10.9992	10.83726937	13.1791702	10.55016848	8.5769852	14.57662603	14.19172407
HMDB0001051	0.100503423	0.120855844	0.1302	0.1193864	0.114605253	0.1105356	0.104832877	0.127780971
HMDB0001138	0.065252174	0.031190909	0.044012253	0.0463554	0.068275875	0.0393736	0.016058904	0.034914748
HMDB0001149	0.156504718	0.131015584	0.133143827	0.1647044	0.14290214	0.1054144	0.104308219	0.162655756
HMDB0001151	0.046250509	0.043732468	0.047840151	0.0304906	0.088355253	0.073801	0.045668493	0.040603996
HMDB0001256	0.075628492	0.055101299	0.082985297	0.0609924	0.060766537	0.0461426	0.053609589	0.09766432
HMDB0001262	0.070313414	0.020302597	0.033435061	0.0097916	0.013896498	1.19E-06	0.018338356	0.023689439
HMDB0001266	3.29E-06	2.87E-06	1.49E-06	2.03E-06	1.54E-06	4.02E-06	4.46E-06	2.16E-06
HMDB0001358	0.023104533	0.018522078	0.026824317	0.029064	0.02954572	0.0154014	0.016724658	0.03001941
HMDB0001370	0.020597225	0.009798701	3.96E-06	1.94E-06	0.017430545	0.0089754	0.033045205	2.58E-06
HMDB0001388	1.016410361	1.325796104	1.354239397	1.6108722	1.332918482	0.5746664	0.957052055	1.067989534
HMDB0001397	0.09306827	0.139248052	0.041559284	0.0497378	0.077197471	0.0601356	0.03049863	0.095294577
HMDB0001401	23.99770953	26.48519351	11.06315231	17.094819	33.68677821	24.8136826	22.50732603	24.48916499
HMDB0001488	11.30075467	4.113166234	9.933019793	4.99772	0.278071595	0.2307214	0.039367123	9.785758896
HMDB0001491	24.06901758	30.91199091	20.4092475	27.6873646	30.16766848	26.9703686	32.73073151	30.5873039
